framework,repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects
Spring,sofastack/sofa-registry,58,592,245,32,28,9,7,2019-06-25T14:44:54Z,1
Spring,souyunku/SpringBootExamples,476,1105,622,61,8,86,0,2019-06-25T13:37:43Z,0
Spring,apereo/cas,2791,1388505,6124,587,0,14645,2755,2019-06-26T02:57:14Z,0
Spring,henryyan/activiti-in-action-codes,341,8542,456,66,7,10,3,2019-06-24T02:40:51Z,0
Spring,dangdangdotcom/config-toolkit,320,499,488,109,13,238,18,2019-06-17T15:02:13Z,0
Spring,417511458/jbone,419,49169,672,97,11,396,18,2019-06-26T01:06:17Z,0
Spring,spring-cloud-incubator/spring-cloud-alibaba,1708,3235,6429,473,433,973,280,2019-06-26T02:46:26Z,0
Spring,ZhongFuCheng3y/msc-Demo,113,152,205,14,0,8,0,2019-06-25T09:04:27Z,0
Spring,springside/springside4,3064,4837,5674,1140,466,1074,122,2019-06-25T13:00:39Z,1
Spring,dynamind/spring-boot-security-oauth2-minimal,161,68,387,44,6,13,2,2019-05-30T02:19:39Z,0
Spring,fabric8io/fabric8-maven-plugin,159,37805,216,31,671,2285,991,2019-06-25T19:34:16Z,8
Spring,hank-whu/rpc-benchmark,97,359,344,30,12,154,14,2019-06-24T13:06:38Z,0
Spring,theotherp/nzbhydra2,28,159143,348,28,389,1455,20,2019-06-24T03:28:42Z,1
Spring,jhipster/jhipster-registry,490,5540,507,91,165,864,202,2019-06-24T09:36:23Z,1
Spring,tmobile/pacbot,103,22293,637,67,78,725,170,2019-06-25T05:06:16Z,0
Spring,Saka7/spring-boot-angular4-boilerplate,76,182,148,18,9,40,0,2019-06-16T06:34:45Z,0
Spring,sofastack/sofa-lookout,81,1385,235,44,36,36,35,2019-06-23T16:52:04Z,0
Spring,wyh-spring-ecosystem-student/spring-boot-student,395,802,630,79,11,392,0,2019-06-25T16:04:25Z,0
Spring,forezp/SpringBootLearning,726,211,1219,111,7,51,4,2019-06-26T02:49:49Z,0
Spring,lenve/vhr,1990,4138,4455,313,94,70,6,2019-06-26T03:08:03Z,0
Spring,spring-guides/tut-spring-boot-oauth2,465,194,555,58,71,92,34,2019-06-26T03:05:01Z,0
Spring,proxyee-down-org/proxyee-down,4397,26846,24376,969,0,471,32,2019-06-26T02:12:16Z,2
Spring,halo-dev/halo,1579,25675,6059,185,170,1366,46,2019-06-26T03:03:21Z,2
Spring,tmobile/t-vault,41,161156,245,36,11,531,173,2019-06-19T05:56:52Z,1
Spring,hibernate/hibernate-demos,191,12480,160,32,5,167,35,2019-06-25T06:54:28Z,0
Spring,system-sekkei/isolating-the-domain,50,1401,276,65,69,784,36,2019-06-25T10:14:22Z,0
Spring,odrotbohm/spring-restbucks,307,624,801,92,59,190,27,2019-06-24T18:04:13Z,0
Spring,wikift/wikift,73,4993,280,30,20,191,67,2019-06-24T01:38:51Z,0
Spring,ctripcorp/apollo-use-cases,143,99,402,29,11,45,16,2019-06-25T02:45:43Z,1
Spring,jiangmin168168/jim-framework,244,677,424,69,10,62,0,2019-06-26T01:36:52Z,0
Spring,qunarcorp/qmq,430,5024,1677,125,34,396,27,2019-06-26T00:57:01Z,0
Spring,vdenotaris/spring-boot-security-saml-sample,237,1670,341,33,60,124,11,2019-06-19T03:44:46Z,1
Spring,zhegexiaohuozi/SeimiCrawler,459,437,1325,162,31,253,14,2019-06-25T01:10:13Z,0
Spring,ctripcorp/apollo,5301,44756,14998,1164,1443,2226,934,2019-06-26T02:56:11Z,1
Spring,dearbinge/dubbo-spring-boot-mybatis-redis,540,29,788,112,6,6,1,2019-06-25T09:32:48Z,0
Spring,codecentric/chaos-monkey-spring-boot,60,2736,436,31,38,302,39,2019-06-24T16:08:08Z,1
Spring,spring-projects/spring-xd,303,28778,466,100,0,2768,1816,2019-06-16T18:12:47Z,0
Spring,elastic/apm-agent-java,98,4217,223,240,249,770,441,2019-06-25T11:39:35Z,0
Spring,naturalprogrammer/spring-lemon,109,1229,345,53,33,499,1,2019-06-24T12:50:25Z,0
Spring,ZHENFENG13/My-Blog,63,20499,163,7,74,36,1,2019-06-25T09:54:09Z,0
Spring,liaokailin/springcloud,166,3750,173,26,3,23,1,2019-05-14T06:32:17Z,0
Spring,sakaiproject/sakai,611,381369,512,74,0,47860,6674,2019-06-25T16:23:24Z,2
Spring,mraible/21-points,104,16374,213,28,29,86,30,2019-06-04T16:07:22Z,0
Spring,shunfei/DCMonitor,94,5457,244,40,13,95,32,2019-05-30T02:19:39Z,0
Spring,spring-projects/spring-security-oauth,3335,6442,3596,419,1288,1280,418,2019-06-25T09:08:05Z,0
Spring,mybatis-book/book,325,2389,707,69,72,13,1,2019-06-26T02:36:37Z,0
Spring,spring-projects/spring-xd-samples,231,31515,188,50,15,275,36,2019-05-25T06:31:13Z,0
Spring,opentracing-contrib/java-spring-cloud,67,583,174,25,92,185,139,2019-06-19T10:58:18Z,0
Spring,roncoo/spring-boot-demo,864,230,1510,185,2,155,2,2019-06-25T02:56:34Z,0
Spring,yu199195/myth,594,1218,1347,131,40,96,15,2019-06-25T15:52:30Z,0
Spring,xuxueli/xxl-api,287,4476,653,64,38,178,6,2019-06-21T06:57:23Z,0
