nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
CrackerCat/VirtualXposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glovebx/VirtualXposed,846,67,705,74,14,437,148,0,3,3,70,3,0,0,21,2,208,29,0,0,35,0,35,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,93
Placya/VAExposed,6,1,5,0,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
chago/VAExposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luozhanming/SopCastComponent,6,0,6,0,3,2,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yulin6666/SopCastComponent,38,0,32,6,4,26,7,0,0,0,2,1,0,0,2,1,8,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feaoes/SopCastComponent,9,0,9,0,3,1,1,1,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MaTriXy/SopCastComponent,35,0,34,1,4,25,25,1,0,0,5,3,0,0,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJinz/SopCastComponent,27,9,18,0,2,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
jianhui1012/SopCastComponent,72,59,13,0,5,64,60,0,0,0,3,3,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ItsFated/SopCastComponent,6,0,6,0,2,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suhelhammoud/coursera-android,153,38,114,1,10,5,5,36,1,1,71,70,0,0,1,1,22,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
gauravpgaurav/coursera-android,67,67,0,0,9,6,6,4,2,2,4,4,0,0,2,2,20,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
mingfenghappy/coursera-android,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psxjpm/coursera-android,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
