framework,projeto,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
Android,781015928/AopUtils,18,17,18,10,94,9,75,11,0,0,0,0,16,2,13,36,0,38,36,8,38,0,4,9,8,17,0,671,137,469,235,190,81,0,0,0,225,307,176,131,0,0,0,0,0,36,34,36,12,0,0,14,0,0,0,0,279,76,71,77,38,12
Android,mayubao/KuaiChuan,132,125,144,65,847,56,623,157,0,0,0,0,137,97,117,512,0,537,440,287,537,0,21,59,30,427,0,10101,1657,6434,2369,3605,2155,0,0,0,3615,4803,2262,2541,0,0,0,0,0,303,286,336,100,0,0,95,0,0,0,8,2296,1133,1104,1204,574,62
Android,anismiles/websocket-android-phonegap,6,6,8,3,63,4,36,25,0,0,0,0,12,27,35,75,0,73,48,49,75,0,0,17,1,57,0,2931,392,1389,485,950,1448,0,0,0,658,896,325,571,0,0,0,0,0,30,30,48,17,0,0,11,0,0,0,2,102,245,243,272,106,3
Android,deano2390/FlowTextView,22,22,26,8,127,20,105,2,0,0,0,0,13,3,2,62,0,63,60,53,63,0,0,17,4,42,0,1007,190,746,281,413,113,0,0,0,451,603,283,320,0,0,0,0,0,58,56,64,23,0,0,21,0,0,0,0,331,135,133,145,83,12
Android,scottyab/showhidepasswordedittext,6,6,7,6,30,1,27,1,0,0,0,0,7,0,4,32,0,32,32,8,32,0,0,5,2,25,0,417,89,284,130,134,45,0,0,0,152,204,115,89,0,0,0,0,0,16,16,16,6,0,0,3,0,0,0,0,166,54,54,60,32,6
Android,HiddenStage/divide,214,203,225,162,1208,58,982,110,0,0,0,0,306,203,273,1143,0,1202,1015,331,1218,0,47,173,93,905,0,21405,2719,10919,4387,5682,7821,0,0,0,5828,7958,4055,3903,0,0,0,0,0,521,465,564,264,0,0,160,0,0,0,107,8068,2102,1843,2185,1294,195
Android,qinci/MarkdownEditors,73,70,80,57,467,7,356,79,0,0,0,0,115,136,64,805,0,839,653,228,789,0,36,114,87,552,0,11837,1652,7216,2597,3930,3102,0,0,0,3765,5232,2366,2866,0,0,0,0,0,256,218,299,132,0,0,92,0,0,0,49,2861,1522,1446,1641,977,66
Android,trikita/talalarmo,23,20,25,17,154,3,146,0,0,0,0,0,26,12,12,93,0,98,64,38,76,0,10,13,4,49,0,1224,163,1046,389,623,24,0,0,0,624,757,353,404,0,0,0,0,0,62,48,67,24,0,0,19,0,0,0,0,23,172,154,180,108,15
Android,ushahidi/Ushahidi_Android,361,361,389,253,2262,110,1727,308,0,0,0,0,538,204,511,3641,0,4070,3839,1317,4043,0,135,294,378,3236,0,59920,9079,35747,13364,18774,15259,0,0,0,18033,25541,11808,13733,0,0,0,0,0,1196,1190,1361,516,0,0,425,0,0,0,156,8719,7199,7144,7794,4177,275
Android,nicolasjafelle/PagingGridView,9,9,9,8,56,0,47,5,0,0,0,0,21,0,3,104,0,105,105,31,105,0,1,8,20,76,0,1182,208,794,252,407,180,0,0,0,410,583,245,338,0,0,0,0,0,24,22,27,13,0,0,12,0,0,0,0,118,163,161,171,121,8
