framework,projeto,caminho,versao,,vesoes,repeticoes,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-redis/pom.xml,1.5.7.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-solr-cloud/pom.xml,1.5.7.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-swagger/pom.xml,1.5.7.RELEASE,,,,,,
Spring,bitkylin/ClusterDeviceControlPlatform,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/bitkylin/ClusterDeviceControlPlatform/Project-v1-Obsolete/clustermanage-server/pom.xml,1.5.8.RELEASE,,,,,,
Spring,qiurunze123/miaosha,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/qiurunze123/miaosha/pom.xml,1.5.8.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-elasticsearch-demo/pom.xml,1.5.8.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-elasticsearch/pom.xml,1.5.8.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-lucene-demo/pom.xml,1.5.8.RELEASE,,,,,,
Spring,dangdangdotcom/config-toolkit,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/dangdangdotcom/config-toolkit/config-toolkit-demo/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-actuator/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-actuator/target/classes/META-INF/maven/1.0.0/springboot-actuator/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-config/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-hello/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-hello/target/classes/META-INF/maven/1.0.0/springboot-hello/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-jsp-jpa/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-jsp-thymeleaf/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-mail/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-mail/target/classes/META-INF/maven/1.0.0/springboot-mail/pom.xml,1.5.9.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-mutilDatasource/pom.xml,1.5.9.RELEASE,,,,,,
