framework,projeto,caminho,minSdkVersion,targetSdkVersion,,api level,min,target,,,,,,,,,,,,
Android,toddway/ListOfThings,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/toddway/ListOfThings/app/build.gradle,21,23,,,,,,,,,,,,,,,,
Android,toddway/ListOfThings,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/toddway/ListOfThings/data/build.gradle,21,23,,,,,,,,,,,,,,,,
Android,zaihuishou/ExpandableRecyclerview,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/zaihuishou/ExpandableRecyclerview/expandablerecycleradapter/build.gradle,8,24,,,,,,,,,,,,,,,,
Android,LuckyJayce/GuideHelper,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/LuckyJayce/GuideHelper/library/build.gradle,9,24,,,,,,,,,,,,,,,,
Android,ww6015132/SilkySignature,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ww6015132/SilkySignature/silky-signature/build.gradle,9,24,,,,,,,,,,,,,,,,
Android,penglu20/Bigbang,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/penglu20/Bigbang/commonjar/build.gradle,10,24,,,,,,,,,,,,,,,,
Android,Cleveroad/FireworkyPullToRefresh,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Cleveroad/FireworkyPullToRefresh/library/build.gradle,11,24,,,,,,,,,,,,,,,,
Android,k0shk0sh/PermissionHelper,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/k0shk0sh/PermissionHelper/app/build.gradle,14,24,,,,,,,,,,,,,,,,
Android,k0shk0sh/PermissionHelper,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/k0shk0sh/PermissionHelper/permission/build.gradle,14,24,,,,,,,,,,,,,,,,
Android,penglu20/Bigbang,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/penglu20/Bigbang/app/build.gradle,14,24,,,,,,,,,,,,,,,,
Android,penglu20/Bigbang,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/penglu20/Bigbang/colorpicker/build.gradle,14,24,,,,,,,,,,,,,,,,
Android,penglu20/Bigbang,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/penglu20/Bigbang/xposed/build.gradle,14,24,,,,,,,,,,,,,,,,
Android,tianzhijiexian/DBinding,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tianzhijiexian/DBinding/dbindinglib/build.gradle,14,24,,,,,,,,,,,,,,,,
Android,vikramkakkar/ImageTransition,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/vikramkakkar/ImageTransition/app/build.gradle,14,24,,,,,,,,,,,,,,,,
Android,vikramkakkar/ImageTransition,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/vikramkakkar/ImageTransition/imagetransitionlibrary/build.gradle,14,24,,,,,,,,,,,,,,,,
Android,jiangzehui/MD,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jiangzehui/MD/app/build.gradle,15,24,,,,,,,,,,,,,,,,
Android,zaihuishou/ExpandableRecyclerview,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/zaihuishou/ExpandableRecyclerview/app/build.gradle,15,24,,,,,,,,,,,,,,,,
Android,colintheshots/AnDevCon-RxPatterns,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/colintheshots/AnDevCon-RxPatterns/app/build.gradle,16,24,,,,,,,,,,,,,,,,
Android,Slyce-Inc/SlyceMessaging,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Slyce-Inc/SlyceMessaging/example/build.gradle,16,24,,,,,,,,,,,,,,,,
Android,Slyce-Inc/SlyceMessaging,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Slyce-Inc/SlyceMessaging/slyce-messaging/build.gradle,16,24,,,,,,,,,,,,,,,,
Android,Cleveroad/FireworkyPullToRefresh,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Cleveroad/FireworkyPullToRefresh/app/build.gradle,17,24,,,,,,,,,,,,,,,,
Android,omkarmoghe/Pokemap,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/omkarmoghe/Pokemap/app/build.gradle,17,24,,,,,,,,,,,,,,,,
Android,alt236/Bluetooth-LE-Library---Android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/alt236/Bluetooth-LE-Library---Android/build.gradle,18,24,,,,,,,,,,,,,,,,
Android,jacek-marchwicki/JavaWebsocketClient,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jacek-marchwicki/JavaWebsocketClient/websockets-rxjava-example/build.gradle,9,25,,,,,,,,,,,,,,,,
Android,linglongxin24/WelcomeVideoPager,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/linglongxin24/WelcomeVideoPager/app/build.gradle,9,25,,,,,,,,,,,,,,,,
Android,maksim88/PasswordEditText,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/maksim88/PasswordEditText/library/build.gradle,9,25,,,,,,,,,,,,,,,,
