framework,projeto,arquivo,minSdkVersion/version,targetSdk/groupId,compileSdk/artifactId
Android,anzaizai/EasyRefreshLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/anzaizai/EasyRefreshLayout/app/build.gradle,14,25,25
Android,jshvarts/OfflineSampleApp,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jshvarts/OfflineSampleApp/build.gradle,information not found,information not found,information not found
Android,jshvarts/OfflineSampleApp,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jshvarts/OfflineSampleApp/app/build.gradle,16,26,26
Android,ShawnLin013/NumberPicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ShawnLin013/NumberPicker/build.gradle,information not found,information not found,information not found
Android,ShawnLin013/NumberPicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ShawnLin013/NumberPicker/library/build.gradle,15,28,28
Android,ShawnLin013/NumberPicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ShawnLin013/NumberPicker/sample/build.gradle,15,28,28
Android,florina-muntenescu/MVPvsMVVM,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/florina-muntenescu/MVPvsMVVM/build.gradle,information not found,information not found,information not found
Android,florina-muntenescu/MVPvsMVVM,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/florina-muntenescu/MVPvsMVVM/app/build.gradle,15,23,23
Android,NikoYuwono/ToolbarPanel,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/NikoYuwono/ToolbarPanel/build.gradle,information not found,information not found,information not found
Android,NikoYuwono/ToolbarPanel,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/NikoYuwono/ToolbarPanel/sample/build.gradle,15,23,23
Android,penglu20/Bigbang,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/penglu20/Bigbang/build.gradle,information not found,information not found,information not found
Android,penglu20/Bigbang,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/penglu20/Bigbang/lib/build.gradle,14,21,21
Android,penglu20/Bigbang,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/penglu20/Bigbang/commonjar/build.gradle,10,24,24
Android,penglu20/Bigbang,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/penglu20/Bigbang/xposed/build.gradle,14,24,24
Android,penglu20/Bigbang,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/penglu20/Bigbang/app/build.gradle,information not found,information not found,information not found
Android,penglu20/Bigbang,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/penglu20/Bigbang/colorpicker/build.gradle,14,24,24
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/build.gradle,information not found,information not found,information not found
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/common_ui/build.gradle,14,19,23
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/plugProject/xiaomi_bledemov2/build.gradle,14,19,23
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/plugProject/EmptyDemo/build.gradle,14,19,23
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/plugProject/PluginDemo/build.gradle,14,19,23
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/plugProject/SpecDemo/build.gradle,14,19,23
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/plugProject/BleMeshDemo/build.gradle,14,19,23
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/pluglib/build.gradle,14,19,23
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/mibtservice/build.gradle,information not found,information not found,information not found
Android,MiEcosystem/NewXmPluginSDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MiEcosystem/NewXmPluginSDK/mibtservice/app/build.gradle,21,25,25
Android,xxxyanchenxxx/QqDecrpt,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xxxyanchenxxx/QqDecrpt/build.gradle,information not found,information not found,information not found
Android,xxxyanchenxxx/QqDecrpt,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xxxyanchenxxx/QqDecrpt/app/build.gradle,14,26,26
Android,frostwire/frostwire,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/frostwire/frostwire/desktop/build.gradle,information not found,information not found,information not found
Android,frostwire/frostwire,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/frostwire/frostwire/android/build.gradle,19,28,28
Android,gowong/material-sheet-fab,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/gowong/material-sheet-fab/build.gradle,information not found,information not found,information not found
Android,gowong/material-sheet-fab,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/gowong/material-sheet-fab/sample/build.gradle,14,23,23
Android,gowong/material-sheet-fab,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/gowong/material-sheet-fab/material-sheet-fab/build.gradle,14,23,23
Android,kaelaela/OpenGraphView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/kaelaela/OpenGraphView/build.gradle,information not found,information not found,information not found
Android,kaelaela/OpenGraphView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/kaelaela/OpenGraphView/library/build.gradle,MIN_SDK_VERSION as int,TARGET_SDK_VERSION as int,COMPILE_SDK_VERSION as int
Android,kaelaela/OpenGraphView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/kaelaela/OpenGraphView/sample/build.gradle,MIN_SDK_VERSION as int,TARGET_SDK_VERSION as int,COMPILE_SDK_VERSION as int
Android,blazsolar/HorizontalPicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/blazsolar/HorizontalPicker/build.gradle,information not found,information not found,information not found
Android,blazsolar/HorizontalPicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/blazsolar/HorizontalPicker/HorizontalPicker/build.gradle,14,23,23
Android,blazsolar/HorizontalPicker,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/blazsolar/HorizontalPicker/HorizontalPickerExample/build.gradle,14,23,23
Android,omkarmoghe/Pokemap,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/omkarmoghe/Pokemap/build.gradle,information not found,information not found,information not found
Android,omkarmoghe/Pokemap,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/omkarmoghe/Pokemap/app/build.gradle,17,24,24
Android,nshmura/RecyclerTabLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nshmura/RecyclerTabLayout/build.gradle,information not found,information not found,information not found
Android,nshmura/RecyclerTabLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nshmura/RecyclerTabLayout/demo/build.gradle,MIN_SDK_VERSION as int,COMPILE_SDK_VERSION as int,COMPILE_SDK_VERSION as int
Android,nshmura/RecyclerTabLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nshmura/RecyclerTabLayout/library/build.gradle,MIN_SDK_VERSION as int,TARGET_SDK_VERSION as int,COMPILE_SDK_VERSION as int
Android,CoXier/LowPoly,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/CoXier/LowPoly/build.gradle,information not found,information not found,information not found
Android,CoXier/LowPoly,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/CoXier/LowPoly/app/build.gradle,14,23,23
Android,CoXier/LowPoly,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/CoXier/LowPoly/lowpoly/build.gradle,14,23,23
Android,AppLozic/Applozic-Android-SDK,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/AppLozic/Applozic-Android-SDK/build.gradle,,28,28
